"2019-01-10 08:33:26 [restartedMain] INFO  o.b.e.DynamiqueVmExtractionApplication - Starting DynamiqueVmExtractionApplication on MC0ZUKMC with PID 9632 (C:\Users\A705896\Desktop\env_dev\workspace\Dynamique_VM_Extraction\target\classes started by A705896 in C:\Users\A705896\Desktop\env_dev\workspace\Dynamique_VM_Extraction)
""2019-01-10 08:33:26 [restartedMain] INFO  o.b.e.DynamiqueVmExtractionApplication - No active profile set, falling back to default profiles: default
""2019-01-10 08:33:26 [restartedMain] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@127680e: startup date [Thu Jan 10 08:33:26 GMT 2019]; root of context hierarchy
""2019-01-10 08:33:28 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-01-10 08:33:29 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-01-10 08:33:29 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2019-01-10 08:33:29 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-01-10 08:33:29 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.2.17.Final}
""2019-01-10 08:33:29 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-01-10 08:33:29 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2019-01-10 08:33:29 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
""2019-01-10 08:33:30 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-01-10 08:33:31 [restartedMain] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2019-01-10 08:33:32 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2019-01-10 08:33:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2019-01-10 08:33:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
""2019-01-10 08:33:32 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
""2019-01-10 08:33:32 [restartedMain] INFO  o.b.e.DynamiqueVmExtractionApplication - Started DynamiqueVmExtractionApplication in 6.176 seconds (JVM running for 7.433)
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:33 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe X 2.5
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineTicket
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
""2019-01-10 08:33:34 [restartedMain] INFO  org.back.csv.metier.JobDate - fin de clacule deadLineGroupe
